questionName;correctAnswer;wrongAnswer1;wrongAnswer2;wrongAnswer3;correction;correctAnswerValue
As células animais e vegetais são:;Ambas eucariontes;Eucarionte e Procarionte, respectivamente;Ambas procariontes;Procarionte e Eucarionte, respectivamente;Ambas são eucariontes pois possuem núcleo definido e concentrado.;
Qual a função da vesícula secretora?;Transporte de substâncias na célula;Geração de energia;Metabolismo;Divisão celular;A vesícula secretora é responsavel pelo transporte de substâncias na célula.;
Qual é a função das mitocôndrias?;Respiração celular;Síntese de lipídios;Formação de enzimas;Ciclo de Krebs;A mitocôndria é essencial para as céulas pois é responsável pela respiração celular!;
Qual a função do Complexo de Golgi?;Armazenar proteínas;Armazenar minerais;Armazenar energia;Síntese de lípidios;O Complexo de Golgi é importante para o armazenamento de proteínas.;
Qual a função do DNA?;Codificar para a síntese de proteínas;Divisão celular;Armazenar proteínas;Respiração celular;O DNA é transporta a informação necessária para que ocorra a síntese de proteínas e sua replicação;
Qual a função do Nucléolo?;Produção de RNAr;Produção de DNA;Produção de RNAM;Produção de ATP;No nucléolo das células são produzidos os RNA’s ribossômicos;
Qual a principal função do retículo endoplasmático liso?;Desintoxicação celular;Síntese de vitaminas;Síntese de proteinas;Desintoxicação alimentar;No interior do REL há enzimas que combatem substâncias tóxicas e promovem a desintoxicação celular;
Qual a função do Vacuolo Pulsátil?;Eliminar o excesso de água;Regular a síntese de proteínas;Regular o transporte de proteínas;Regular o transporte de íons;O Vacuolo pulsátil realiza a osmorregulação, ou seja, o controle do volume celular, permitindo a expulsão do excesso de água;
Qual a função dos centríolos?;Divisão celular;Codificicar para a síntese de proteínas;Digestão intracelular;Fotossíntese;Sem os centríolos, não ocorrerão a mitose e meiose.;
Qual a função dos cloroplastos?;Fotossíntese;Produção de RNA;Transporte de proteínas;Divisão Celular;É por causa dos cloroplastos que as plantas são autótrofas;
Qual a função dos lisossomos?;Digestão intracelular;Divisão celular;Codificação para a síntese de proteínas;Produção de proteínas;Os lisossomos fazem a degradação e digestão de substâncias na célula;
Qual das alternativas abaixo contém organelas presentes na célula animal?;Centríolo, Lisossomos, Peroxissomos;Parede celular, Ribossomos, Glioxissoma;Centríolo, Parede celular, Plastos;Vacúolo digestivo, Parede celular, Glioxissoma;Centríolo, Lisossomos e Peroxissomos são comuns nas células animais,além de outras organelas ;
Qual das alternativas abaixo contém organelas presentes na célula vegetal?;Vacúolo central, Plastos, Glioxissoma;Lisossomos, Peroxissomos, Plastos;Lisossomos, Retículo endoplasmático, Parede celular;Retículo endoplasmático, Peroxissomos;Vacúolo central, glioxissoma e plastos são a resposta correta, além de outras organelas;
Qual das alternativas abaixo possui organelas encontradas tanto nas células animais, quanto nas vegetais?;Complexo golgiense, Retículo endoplasmático e Peroxissomos;Vacúolo Central, Centríolos, Mitocôndrias;Mitocôndria, Retículo endoplasmático e Vacúolo de suco celular;Ribossomos, Peroxissomos e Glioxissoma;Complexo golgiense, Retículo endoplasmático e Peroxissomos ,estão presentes em ambas as células,além de outras organelas;
Qual a função dos ribossomos?;Síntese de proteinas;Síntese de enzimas;Síntese de lípídios ;Sintese de polissacarídeos;A função dos ribossomos é atuar na síntese de proteinas;
